hybrid_id, fec,vmm,ch,fit scale, error scale, fit mean, error mean, fit sigma, error sigma
025040107410003168d2a000a00000e2,2,3,0,10.6507,0.0155731,506.63,0.0126177,1.11909,0.01598
025040107410003168d2a000a00000e2,2,3,1,10.7189,0.0189402,512.104,0.016122,1.09509,0.020107
025040107410003168d2a000a00000e2,2,3,2,10.6895,0.015946,516.676,0.0158712,1.19734,0.0203022
025040107410003168d2a000a00000e2,2,3,3,10.7306,0.00875371,521.976,0.0100311,1.32928,0.0130469
025040107410003168d2a000a00000e2,2,3,4,10.7039,0.0240199,525.512,0.0215263,0.974005,0.0323864
025040107410003168d2a000a00000e2,2,3,5,10.7018,0.0205524,513.008,0.0176433,1.07503,0.0225439
025040107410003168d2a000a00000e2,2,3,6,10.6802,0.0111769,516.262,0.0114769,1.2582,0.0143484
025040107410003168d2a000a00000e2,2,3,7,10.719,0.0101567,515.763,0.010206,1.22804,0.0128056
025040107410003168d2a000a00000e2,2,3,8,10.7156,0.0100349,521.788,0.0111433,1.25571,0.0144674
025040107410003168d2a000a00000e2,2,3,9,10.7327,0.0180736,525.95,0.0180902,1.08195,0.0234642
025040107410003168d2a000a00000e2,2,3,10,10.6784,0.0147037,516.62,0.0147599,1.21196,0.0188024
025040107410003168d2a000a00000e2,2,3,11,10.7184,0.0238938,525.588,0.0221579,1.01725,0.0324406
025040107410003168d2a000a00000e2,2,3,12,10.6943,0.0260495,528.246,0.0224197,0.951594,0.0378776
025040107410003168d2a000a00000e2,2,3,13,10.714,0.0236401,524.336,0.0222314,1.02664,0.0318812
025040107410003168d2a000a00000e2,2,3,14,10.6925,0.0255069,519.331,0.020966,0.979706,0.0273934
025040107410003168d2a000a00000e2,2,3,15,10.7096,0.0288658,527.698,0.0240163,0.885442,0.0396058
025040107410003168d2a000a00000e2,2,3,16,10.7047,0.015625,526.157,0.0161517,1.12308,0.0200248
025040107410003168d2a000a00000e2,2,3,17,10.7318,0.0131555,526.524,0.0137075,1.1159,0.0164529
025040107410003168d2a000a00000e2,2,3,18,10.6925,0.0226858,524.383,0.0209879,1.005,0.0305031
025040107410003168d2a000a00000e2,2,3,19,10.7119,0.0255193,520.655,0.0223171,0.96285,0.0316384
025040107410003168d2a000a00000e2,2,3,20,10.6849,0.0200342,524.253,0.0190488,1.01407,0.0264628
025040107410003168d2a000a00000e2,2,3,21,10.7211,0.0250036,528.328,0.0216567,0.93851,0.0353656
025040107410003168d2a000a00000e2,2,3,22,10.6947,0.0291769,524.979,0.0232305,0.917777,0.0415916
025040107410003168d2a000a00000e2,2,3,23,10.7257,0.0208454,528.711,0.0202391,1.01125,0.0281769
025040107410003168d2a000a00000e2,2,3,24,10.695,0.0292346,530.406,0.0291079,1.07018,0.0427464
025040107410003168d2a000a00000e2,2,3,25,10.7252,0.0233584,528.475,0.0208855,0.935433,0.031776
025040107410003168d2a000a00000e2,2,3,26,10.6909,0.0276952,531.518,0.0277068,1.0876,0.0424802
025040107410003168d2a000a00000e2,2,3,27,10.7156,0.0282676,524.731,0.0234944,0.939336,0.0393274
025040107410003168d2a000a00000e2,2,3,28,10.7149,0.0091426,521.902,0.0103152,1.28595,0.01343
025040107410003168d2a000a00000e2,2,3,29,10.7303,0.0125363,521.504,0.0134875,1.22157,0.0174127
025040107410003168d2a000a00000e2,2,3,30,10.6926,0.0279705,525.377,0.0246486,0.994186,0.0394441
025040107410003168d2a000a00000e2,2,3,31,10.7217,0.0254728,528.441,0.0226498,0.93919,0.035054
025040107410003168d2a000a00000e2,2,3,32,10.6942,0.0285821,527.866,0.0228162,0.87241,0.0405486
025040107410003168d2a000a00000e2,2,3,33,10.7159,0.0245841,530.248,0.0245763,1.02745,0.0337657
025040107410003168d2a000a00000e2,2,3,34,10.6984,0.0159419,523.822,0.016616,1.11517,0.0215203
025040107410003168d2a000a00000e2,2,3,35,10.7313,0.0133968,529.481,0.0143362,1.11896,0.0172145
025040107410003168d2a000a00000e2,2,3,36,10.6874,0.0290391,531.489,0.0289558,1.09091,0.0448768
025040107410003168d2a000a00000e2,2,3,37,10.7259,0.0202743,527.173,0.0197035,0.995577,0.0262312
025040107410003168d2a000a00000e2,2,3,38,10.696,0.0205528,527.136,0.0205455,1.05325,0.0272491
025040107410003168d2a000a00000e2,2,3,39,10.7237,0.0299195,525.103,0.0236291,0.902791,0.0420318
025040107410003168d2a000a00000e2,2,3,40,10.7335,0.00822319,521.951,0.00920554,1.25998,0.0120409
025040107410003168d2a000a00000e2,2,3,41,10.7225,0.0278557,527.697,0.0229013,0.86784,0.0376997
025040107410003168d2a000a00000e2,2,3,42,10.7038,0.0291406,524.737,0.0235024,0.892738,0.0395004
025040107410003168d2a000a00000e2,2,3,43,10.727,0.0273784,527.667,0.0230894,0.898081,0.037496
025040107410003168d2a000a00000e2,2,3,44,10.7133,0.0168543,523.974,0.0168259,1.04645,0.0219664
025040107410003168d2a000a00000e2,2,3,45,10.7211,0.0274035,527.65,0.0222493,0.827842,0.0354346
025040107410003168d2a000a00000e2,2,3,46,10.7149,0.0269319,528.292,0.0225211,0.893783,0.0373717
025040107410003168d2a000a00000e2,2,3,47,10.7291,0.0241073,519.202,0.0195039,0.931223,0.0241337
025040107410003168d2a000a00000e2,2,3,48,10.724,0.00690368,522.715,0.00793228,1.28083,0.0104891
025040107410003168d2a000a00000e2,2,3,49,10.7299,0.0322017,520.058,0.022778,0.834956,0.0414602
025040107410003168d2a000a00000e2,2,3,50,10.7332,0.00965883,523.285,0.0108061,1.23206,0.013966
025040107410003168d2a000a00000e2,2,3,51,10.7364,0.0192276,524.09,0.0189594,1.05599,0.0253997
025040107410003168d2a000a00000e2,2,3,52,10.7275,0.00676314,522.542,0.00773247,1.27052,0.0102835
025040107410003168d2a000a00000e2,2,3,53,10.7338,0.0316342,519.903,0.0224654,0.838837,0.0400704
025040107410003168d2a000a00000e2,2,3,54,10.721,0.0262103,517.37,0.0218851,0.957256,0.0311818
025040107410003168d2a000a00000e2,2,3,55,10.7303,0.0292471,517.589,0.0227274,0.909919,0.0353806
025040107410003168d2a000a00000e2,2,3,56,10.7404,0.0159806,521.166,0.0157915,1.07356,0.0203861
025040107410003168d2a000a00000e2,2,3,57,10.7504,0.0173352,515.079,0.0152131,1.00717,0.0195737
025040107410003168d2a000a00000e2,2,3,58,10.7308,0.0331789,519.943,0.0236369,0.84653,0.0424868
025040107410003168d2a000a00000e2,2,3,59,10.7365,0.0221429,513.096,0.0182582,0.985298,0.023652
025040107410003168d2a000a00000e2,2,3,60,10.7034,0.0206596,506.982,0.0155195,0.991843,0.0199471
025040107410003168d2a000a00000e2,2,3,61,10.7298,0.0305845,514.361,0.0225701,0.927303,0.0362441
025040107410003168d2a000a00000e2,2,3,62,10.724,0.0348576,511.248,0.0239272,0.936219,0.0403111
025040107410003168d2a000a00000e2,2,3,63,10.7823,0.00491468,512.156,0.00335675,0.606075,0.00490178
