hybrid_id, fec,vmm,ch,fit scale, error scale, fit mean, error mean, fit sigma, error sigma
0250401074100030c043a000a00000c7,2,1,0,10.6739,0.0172101,517.283,0.0237422,1.99603,0.0338683
0250401074100030c043a000a00000c7,2,1,1,10.7133,0.0186149,525.184,0.0270344,2.05901,0.0386888
0250401074100030c043a000a00000c7,2,1,2,10.6944,0.013922,519.727,0.0208272,2.1049,0.0272175
0250401074100030c043a000a00000c7,2,1,3,10.7039,0.0166916,531.132,0.0249152,2.02128,0.0369096
0250401074100030c043a000a00000c7,2,1,4,10.6791,0.0179734,524.559,0.0259286,2.02629,0.0369072
0250401074100030c043a000a00000c7,2,1,5,10.7077,0.0172255,526.594,0.0257326,2.12857,0.0354183
0250401074100030c043a000a00000c7,2,1,6,10.6846,0.01515,532.552,0.0240996,2.12098,0.0318393
0250401074100030c043a000a00000c7,2,1,7,10.6949,0.0164904,522.576,0.0237695,2.0488,0.034223
0250401074100030c043a000a00000c7,2,1,8,10.6871,0.0152909,532.127,0.0243843,2.17597,0.0332992
0250401074100030c043a000a00000c7,2,1,9,10.7033,0.0158807,528.974,0.0235553,2.05441,0.0327345
0250401074100030c043a000a00000c7,2,1,10,10.6865,0.0164694,528.798,0.02442,2.05413,0.0341875
0250401074100030c043a000a00000c7,2,1,11,10.6995,0.0171775,535.046,0.0259793,2.0333,0.0384203
0250401074100030c043a000a00000c7,2,1,12,10.6787,0.0175853,531.619,0.0271107,2.08434,0.0388713
0250401074100030c043a000a00000c7,2,1,13,10.7096,0.0173361,546.196,0.0268553,2.07145,0.0374909
0250401074100030c043a000a00000c7,2,1,14,10.6954,0.0170595,541.077,0.0267371,2.11621,0.0392134
0250401074100030c043a000a00000c7,2,1,15,10.7009,0.0143658,533.071,0.0230127,2.14214,0.0300487
0250401074100030c043a000a00000c7,2,1,16,10.6742,0.0155143,537.599,0.0235129,2.04115,0.0335223
0250401074100030c043a000a00000c7,2,1,17,10.7041,0.0164132,535.598,0.0248452,2.04533,0.0357628
0250401074100030c043a000a00000c7,2,1,18,10.6895,0.016874,541.487,0.026901,2.14595,0.0387338
0250401074100030c043a000a00000c7,2,1,19,10.7037,0.0164146,539.82,0.0248279,2.00163,0.0343589
0250401074100030c043a000a00000c7,2,1,20,10.6904,0.0152284,536.65,0.0229498,2.00765,0.0314809
0250401074100030c043a000a00000c7,2,1,21,10.7045,0.0182937,545.763,0.0282506,2.06136,0.0402908
0250401074100030c043a000a00000c7,2,1,22,10.6948,0.0176058,544.752,0.028287,2.1852,0.0410446
0250401074100030c043a000a00000c7,2,1,23,10.7102,0.0154254,541.848,0.0248416,2.1581,0.0347705
0250401074100030c043a000a00000c7,2,1,24,10.6977,0.0139407,542.785,0.0229872,2.18987,0.0302131
0250401074100030c043a000a00000c7,2,1,25,10.7044,0.0183994,544.807,0.0289556,2.10898,0.0424136
0250401074100030c043a000a00000c7,2,1,26,10.6876,0.0206667,548.521,0.0343544,2.30124,0.0487759
0250401074100030c043a000a00000c7,2,1,27,10.6971,0.0181102,544.477,0.0286874,2.10304,0.0413695
0250401074100030c043a000a00000c7,2,1,28,-9999,-9999,-9999,-9999,-9999,-9999
0250401074100030c043a000a00000c7,2,1,29,10.7087,0.0143858,543.269,0.0235694,2.16056,0.0309663
0250401074100030c043a000a00000c7,2,1,30,10.6834,0.0172392,540.93,0.0267366,2.08045,0.0393494
0250401074100030c043a000a00000c7,2,1,31,10.698,0.0153877,542.24,0.0248535,2.12357,0.0336191
0250401074100030c043a000a00000c7,2,1,32,10.6771,0.0184222,534.987,0.0279369,2.03285,0.0413418
0250401074100030c043a000a00000c7,2,1,33,10.703,0.0210166,549.072,0.0359048,2.39668,0.0491835
0250401074100030c043a000a00000c7,2,1,34,10.6908,0.0164999,544.05,0.0269632,2.19368,0.0373673
0250401074100030c043a000a00000c7,2,1,35,10.6976,0.0173704,541.454,0.0272231,2.0823,0.0395225
0250401074100030c043a000a00000c7,2,1,36,10.6928,0.0160775,537.806,0.0243431,2.04612,0.0349053
0250401074100030c043a000a00000c7,2,1,37,10.7058,0.015488,536.736,0.0232512,1.99794,0.031909
0250401074100030c043a000a00000c7,2,1,38,10.69,0.0175412,544.138,0.0283151,2.1457,0.0396045
0250401074100030c043a000a00000c7,2,1,39,10.7007,0.0172999,540.708,0.0265183,2.05127,0.0388695
