hybrid_id, fec,vmm,ch,fit scale, error scale, fit mean, error mean, fit sigma, error sigma
0250401074100030c043a000a00000c7,2,0,0,10.7636,0.0247618,576.05,0.0233732,0.973959,0.0412648
0250401074100030c043a000a00000c7,2,0,1,10.7243,0.0175638,574.881,0.028111,2.35331,0.0394238
0250401074100030c043a000a00000c7,2,0,2,10.7719,0.00943606,581.21,0.0120224,1.27347,0.0150368
0250401074100030c043a000a00000c7,2,0,3,10.7282,0.0174608,583.592,0.0254511,2.08915,0.0366098
0250401074100030c043a000a00000c7,2,0,4,10.6817,0.0177683,585.622,0.0280163,2.50248,0.0394269
0250401074100030c043a000a00000c7,2,0,5,10.745,0.015142,580.49,0.0235678,2.15486,0.0312941
0250401074100030c043a000a00000c7,2,0,6,10.7077,0.0185851,585.937,0.0269425,2.13526,0.0383922
0250401074100030c043a000a00000c7,2,0,7,10.7357,0.0179446,582.734,0.0266832,2.11744,0.0389322
0250401074100030c043a000a00000c7,2,0,8,10.7032,0.0188127,592.669,0.0273673,2.23815,0.0403014
0250401074100030c043a000a00000c7,2,0,9,10.7127,0.0214411,598.857,0.0269253,1.91861,0.0369568
0250401074100030c043a000a00000c7,2,0,10,10.7059,0.0166016,594.835,0.0241497,2.23656,0.031894
0250401074100030c043a000a00000c7,2,0,11,10.7152,0.0193206,593.139,0.027093,2.11514,0.0407849
0250401074100030c043a000a00000c7,2,0,12,10.7051,0.0171982,595.103,0.024642,2.16907,0.0322706
0250401074100030c043a000a00000c7,2,0,13,10.714,0.0182048,592.391,0.0257728,2.10289,0.0376457
0250401074100030c043a000a00000c7,2,0,14,10.694,0.0224202,597.311,0.0291298,2.00523,0.04271
0250401074100030c043a000a00000c7,2,0,15,10.6989,0.0223097,599.561,0.0284178,2.01057,0.0412585
0250401074100030c043a000a00000c7,2,0,16,10.7017,0.0184545,601.283,0.0251294,2.24689,0.0338251
0250401074100030c043a000a00000c7,2,0,17,10.703,0.0221869,597.778,0.0279663,1.90208,0.0395415
0250401074100030c043a000a00000c7,2,0,18,10.6873,0.0210176,599.001,0.0269362,2.00225,0.0375768
0250401074100030c043a000a00000c7,2,0,19,10.7122,0.0157492,591.219,0.0232773,2.17317,0.0306376
0250401074100030c043a000a00000c7,2,0,20,10.6901,0.0211618,596.419,0.0293114,2.16636,0.0417721
0250401074100030c043a000a00000c7,2,0,21,10.7194,0.0308758,609.363,0.036601,2.27246,0.0513006
0250401074100030c043a000a00000c7,2,0,22,10.7024,0.0186061,595.703,0.0264474,2.18828,0.0355907
0250401074100030c043a000a00000c7,2,0,23,10.712,0.0177529,592.331,0.0259499,2.23211,0.0373642
0250401074100030c043a000a00000c7,2,0,24,10.712,0.0268613,607.827,0.0335326,2.36247,0.0477653
0250401074100030c043a000a00000c7,2,0,25,10.7156,0.021241,605.984,0.0274826,2.27225,0.0361782
0250401074100030c043a000a00000c7,2,0,26,10.6981,0.0216968,605.453,0.028681,2.35131,0.0386913
0250401074100030c043a000a00000c7,2,0,27,10.7094,0.0206349,605.701,0.0268711,2.28488,0.0356636
0250401074100030c043a000a00000c7,2,0,28,10.6881,0.0243355,603.899,0.0316652,2.24233,0.0468468
0250401074100030c043a000a00000c7,2,0,29,10.7045,0.023297,604.481,0.0298239,2.19603,0.0436027
0250401074100030c043a000a00000c7,2,0,30,10.7016,0.0433405,610.96,0.0520352,2.42863,0.073912
0250401074100030c043a000a00000c7,2,0,31,10.7016,0.0243903,603.91,0.0315913,2.22888,0.0468202
0250401074100030c043a000a00000c7,2,0,32,10.6682,0.0211745,598.618,0.027826,2.08322,0.0385595
0250401074100030c043a000a00000c7,2,0,33,10.717,0.0351435,609.893,0.0416791,2.31406,0.0587219
0250401074100030c043a000a00000c7,2,0,34,10.6874,0.019001,601.835,0.0264847,2.37294,0.035138
0250401074100030c043a000a00000c7,2,0,35,10.7121,0.0204185,605.953,0.0264828,2.28139,0.0348985
0250401074100030c043a000a00000c7,2,0,36,10.6838,0.0207358,600.77,0.0285282,2.30707,0.0397251
0250401074100030c043a000a00000c7,2,0,37,10.7062,0.0192882,592.741,0.027841,2.21166,0.0412502
0250401074100030c043a000a00000c7,2,0,38,10.6932,0.0193488,600.828,0.0260273,2.20021,0.036266
0250401074100030c043a000a00000c7,2,0,39,10.7018,0.0183977,601.34,0.0251231,2.26076,0.0337088
0250401074100030c043a000a00000c7,2,0,40,10.6992,0.0209362,602.706,0.0287203,2.36432,0.0391466
0250401074100030c043a000a00000c7,2,0,41,10.6976,0.0202723,600.596,0.0269751,2.16534,0.0383342
0250401074100030c043a000a00000c7,2,0,42,10.6849,0.0218891,597.146,0.0292721,2.10327,0.042837
0250401074100030c043a000a00000c7,2,0,43,10.7091,0.0197033,595.938,0.0275638,2.1468,0.0377923
0250401074100030c043a000a00000c7,2,0,44,10.6857,0.0170731,594.444,0.0248611,2.22761,0.0334602
0250401074100030c043a000a00000c7,2,0,45,10.7067,0.0158512,591.399,0.0236683,2.23613,0.0315594
0250401074100030c043a000a00000c7,2,0,46,10.6833,0.0187027,592.29,0.027648,2.26644,0.0395953
0250401074100030c043a000a00000c7,2,0,47,10.6994,0.0204028,598.169,0.0263129,1.99843,0.0363849
0250401074100030c043a000a00000c7,2,0,48,10.6903,0.0166223,585.147,0.0245733,2.18226,0.0343813
0250401074100030c043a000a00000c7,2,0,49,10.7019,0.0184527,587.732,0.0260695,2.04058,0.035996
0250401074100030c043a000a00000c7,2,0,50,10.687,0.0193588,589.186,0.0281709,2.16472,0.0409413
0250401074100030c043a000a00000c7,2,0,51,10.7012,0.0188656,592.811,0.027281,2.22162,0.0404753
0250401074100030c043a000a00000c7,2,0,52,10.6761,0.0166664,584.487,0.0243825,2.10312,0.033713
0250401074100030c043a000a00000c7,2,0,53,10.7104,0.0162932,581.983,0.0250736,2.16176,0.0345527
0250401074100030c043a000a00000c7,2,0,54,10.6874,0.0161011,580.32,0.0254918,2.22213,0.034308
0250401074100030c043a000a00000c7,2,0,55,10.7017,0.016879,583.96,0.0247791,2.11651,0.0349102
0250401074100030c043a000a00000c7,2,0,56,10.6833,0.0176481,582.156,0.0269171,2.13186,0.0377085
0250401074100030c043a000a00000c7,2,0,57,10.7154,0.0163598,579.997,0.0255119,2.18214,0.0352004
0250401074100030c043a000a00000c7,2,0,58,10.6865,0.0173423,583.826,0.0255432,2.12173,0.0362509
0250401074100030c043a000a00000c7,2,0,59,10.7073,0.0158896,577.05,0.0237262,2.06454,0.0328942
0250401074100030c043a000a00000c7,2,0,60,10.6726,0.015196,567.766,0.0247252,2.16057,0.0338385
0250401074100030c043a000a00000c7,2,0,61,10.7177,0.0159421,574.303,0.023898,2.03926,0.0330129
0250401074100030c043a000a00000c7,2,0,62,10.686,0.0148175,567.985,0.0242719,2.21699,0.0339524
0250401074100030c043a000a00000c7,2,0,63,10.7183,0.0130682,566.708,0.021005,2.08635,0.0275108
