hybrid_id, fec,vmm,ch,fit scale, error scale, fit mean, error mean, fit sigma, error sigma
025040107410003168d2a000a00000e2,2,3,0,10.6237,0.0304769,506.41,0.0206458,0.929473,0.0295149
025040107410003168d2a000a00000e2,2,3,1,10.7087,0.0106328,511.889,0.0102358,1.28101,0.0127309
025040107410003168d2a000a00000e2,2,3,2,10.6657,0.0272578,516.435,0.0228063,1.00656,0.0335953
025040107410003168d2a000a00000e2,2,3,3,10.7009,0.0281269,521.637,0.0235085,0.976768,0.039319
025040107410003168d2a000a00000e2,2,3,4,10.687,0.0203509,525.057,0.0178595,0.943819,0.0218897
025040107410003168d2a000a00000e2,2,3,5,10.6782,0.0216368,513.045,0.0191422,1.10957,0.0255847
025040107410003168d2a000a00000e2,2,3,6,10.6518,0.022953,516.126,0.020493,1.06276,0.0270811
025040107410003168d2a000a00000e2,2,3,7,10.6937,0.0169829,515.756,0.0156764,1.12151,0.0191283
025040107410003168d2a000a00000e2,2,3,8,10.6895,0.0268501,521.549,0.0227891,0.99648,0.0357742
025040107410003168d2a000a00000e2,2,3,9,10.7101,0.0270229,525.492,0.0228541,0.917036,0.0319374
025040107410003168d2a000a00000e2,2,3,10,10.6531,0.0242235,516.408,0.0206058,1.03126,0.0300981
025040107410003168d2a000a00000e2,2,3,11,10.6982,0.0223832,525.265,0.0193975,0.928722,0.0245679
025040107410003168d2a000a00000e2,2,3,12,10.6947,0.00875304,527.776,0.0104912,1.29992,0.0135944
025040107410003168d2a000a00000e2,2,3,13,10.7015,0.0294349,523.917,0.030929,1.18702,0.0488057
025040107410003168d2a000a00000e2,2,3,14,10.6729,0.0256076,519.302,0.0236529,1.10451,0.0332465
025040107410003168d2a000a00000e2,2,3,15,10.7112,0.0160978,527.011,0.0169218,1.11513,0.0224995
025040107410003168d2a000a00000e2,2,3,16,10.6794,0.027783,525.673,0.023082,0.922896,0.0357445
025040107410003168d2a000a00000e2,2,3,17,10.7112,0.0308467,525.954,0.0248235,0.920925,0.0432208
025040107410003168d2a000a00000e2,2,3,18,10.6743,0.0319233,524.013,0.0316053,1.10333,0.0547053
025040107410003168d2a000a00000e2,2,3,19,10.6958,0.0243267,520.63,0.0200752,0.948943,0.0265629
025040107410003168d2a000a00000e2,2,3,20,10.6803,0.0329919,523.741,0.0364102,1.23899,0.0518342
025040107410003168d2a000a00000e2,2,3,21,10.7201,0.00759304,527.867,0.00910732,1.29484,0.0118356
025040107410003168d2a000a00000e2,2,3,22,10.6761,0.023555,524.604,0.0204105,0.947833,0.0286146
025040107410003168d2a000a00000e2,2,3,23,10.7173,0.00690437,528.549,0.00854134,1.33084,0.0112372
025040107410003168d2a000a00000e2,2,3,24,10.6708,0.0305107,530.54,0.0283465,0.965329,0.0437211
025040107410003168d2a000a00000e2,2,3,25,10.7227,0.00655136,528.077,0.00794173,1.30111,0.0104019
025040107410003168d2a000a00000e2,2,3,26,10.6823,0.0294453,531.621,0.0290594,1.02091,0.042016
025040107410003168d2a000a00000e2,2,3,27,10.695,0.0262469,524.416,0.0221028,0.92865,0.0353781
025040107410003168d2a000a00000e2,2,3,28,10.6877,0.0289818,521.673,0.0246708,1.00444,0.0420781
025040107410003168d2a000a00000e2,2,3,29,10.7032,0.0239322,521.358,0.0199242,0.936299,0.0272701
025040107410003168d2a000a00000e2,2,3,30,10.6755,0.021642,525.135,0.0191453,0.965895,0.0238416
025040107410003168d2a000a00000e2,2,3,31,10.7185,0.00682329,528.117,0.00828495,1.30062,0.01087
025040107410003168d2a000a00000e2,2,3,32,10.6943,0.0115233,527.341,0.0128114,1.16731,0.0165459
025040107410003168d2a000a00000e2,2,3,33,10.6952,0.0294099,530.372,0.0291673,1.03698,0.0425259
025040107410003168d2a000a00000e2,2,3,34,10.698,0.0294922,523.253,0.0340299,1.30777,0.0398393
025040107410003168d2a000a00000e2,2,3,35,10.7097,0.016321,529.606,0.0192215,1.26248,0.024969
025040107410003168d2a000a00000e2,2,3,36,10.6779,0.0288648,531.594,0.0282983,1.01618,0.0413546
025040107410003168d2a000a00000e2,2,3,37,10.7176,0.0227294,526.578,0.0207089,0.952369,0.0302236
025040107410003168d2a000a00000e2,2,3,38,10.6847,0.0240826,526.499,0.0217878,0.967628,0.0329847
025040107410003168d2a000a00000e2,2,3,39,10.7078,0.0222841,524.773,0.0194359,0.946182,0.0250368
025040107410003168d2a000a00000e2,2,3,40,10.7074,0.0304346,521.68,0.0256393,0.991027,0.0441073
025040107410003168d2a000a00000e2,2,3,41,10.7233,0.0152277,527.026,0.015726,1.06648,0.0206575
025040107410003168d2a000a00000e2,2,3,42,10.6845,0.0275716,524.42,0.023265,0.929866,0.0371383
025040107410003168d2a000a00000e2,2,3,43,10.7264,0.0164922,526.963,0.0170065,1.08512,0.0226911
025040107410003168d2a000a00000e2,2,3,44,10.7071,0.0299136,523.666,0.0333083,1.2472,0.0456321
025040107410003168d2a000a00000e2,2,3,45,10.7242,0.0140239,527.03,0.0143803,1.0469,0.018802
025040107410003168d2a000a00000e2,2,3,46,10.7142,0.00640373,528.227,0.00789832,1.33869,0.0103425
025040107410003168d2a000a00000e2,2,3,47,10.7136,0.0235062,519.18,0.0216908,1.07294,0.0291655
025040107410003168d2a000a00000e2,2,3,48,10.7179,0.0308402,522.321,0.0335286,1.24037,0.0464064
025040107410003168d2a000a00000e2,2,3,49,10.7141,0.0320459,520.005,0.0236527,0.887636,0.041933
025040107410003168d2a000a00000e2,2,3,50,10.7316,0.0298495,522.859,0.034255,1.31231,0.0393519
025040107410003168d2a000a00000e2,2,3,51,10.732,0.0326321,523.634,0.0363815,1.24778,0.0490769
025040107410003168d2a000a00000e2,2,3,52,10.7128,0.0314345,522.002,0.0292953,1.04663,0.0536625
025040107410003168d2a000a00000e2,2,3,53,10.7191,0.030826,519.906,0.0228178,0.885135,0.0403286
025040107410003168d2a000a00000e2,2,3,54,10.712,0.0326799,517.097,0.0230215,0.86807,0.0413483
025040107410003168d2a000a00000e2,2,3,55,10.721,0.0330044,517.163,0.0235642,0.873394,0.0414149
025040107410003168d2a000a00000e2,2,3,56,10.7173,0.0209404,521.093,0.0173873,0.912425,0.0212755
025040107410003168d2a000a00000e2,2,3,57,10.7373,0.0171893,515.146,0.0151883,1.04411,0.0187457
025040107410003168d2a000a00000e2,2,3,58,10.7142,0.0295018,520.006,0.0220295,0.903007,0.0387795
025040107410003168d2a000a00000e2,2,3,59,10.7137,0.0230087,513.116,0.0196433,1.0474,0.0263549
025040107410003168d2a000a00000e2,2,3,60,10.6897,0.0363827,506.775,0.0217025,0.856406,0.0370308
025040107410003168d2a000a00000e2,2,3,61,10.7114,0.0286849,514.31,0.0213559,0.959307,0.0350816
025040107410003168d2a000a00000e2,2,3,62,10.7191,0.022368,510.874,0.0184932,1.0917,0.0251772
025040107410003168d2a000a00000e2,2,3,63,10.766,0.00340333,512.05,0.00247307,0.676839,0.00385128
