hybrid_id, fec,vmm,ch,fit scale, error scale, fit mean, error mean, fit sigma, error sigma
025040107410003168d2a000a00000e2,2,2,0,10.7866,0.0133891,519.267,0.0206807,2.57795,0.0285576
025040107410003168d2a000a00000e2,2,2,1,10.7359,0.0268843,526.88,0.0219398,0.831902,0.0396671
025040107410003168d2a000a00000e2,2,2,2,10.7827,0.0123351,540.063,0.0210558,2.50912,0.0285454
025040107410003168d2a000a00000e2,2,2,3,10.7367,0.0142721,540.924,0.0166266,1.04365,0.0215601
025040107410003168d2a000a00000e2,2,2,4,10.7294,0.02542,534.194,0.0216988,0.824768,0.0380456
025040107410003168d2a000a00000e2,2,2,5,10.7362,0.0273395,526.913,0.0224665,0.846107,0.0408184
025040107410003168d2a000a00000e2,2,2,6,10.7268,0.0249249,533.681,0.023035,0.898527,0.0377537
025040107410003168d2a000a00000e2,2,2,7,10.7377,0.0141962,528.142,0.0155111,1.04264,0.0191982
025040107410003168d2a000a00000e2,2,2,8,10.7372,0.0214526,533.486,0.0217938,0.992827,0.0330188
025040107410003168d2a000a00000e2,2,2,9,10.7365,0.0140481,540.907,0.016373,1.04004,0.0211683
025040107410003168d2a000a00000e2,2,2,10,10.7286,0.0232923,541.606,0.0220772,0.86682,0.0345992
025040107410003168d2a000a00000e2,2,2,11,10.7357,0.0101767,540.541,0.0125149,1.10411,0.0159266
025040107410003168d2a000a00000e2,2,2,12,10.7306,0.0130177,536.685,0.0158237,1.12997,0.0202494
025040107410003168d2a000a00000e2,2,2,13,10.7416,0.00830936,539.663,0.0104746,1.15915,0.0132818
025040107410003168d2a000a00000e2,2,2,14,10.7244,0.02534,542.151,0.0224579,0.852612,0.0399349
025040107410003168d2a000a00000e2,2,2,15,10.7382,0.0194487,538.72,0.0205942,0.95891,0.0285294
025040107410003168d2a000a00000e2,2,2,16,10.7296,0.0200284,542.628,0.0209137,0.942818,0.0298644
025040107410003168d2a000a00000e2,2,2,17,10.7355,0.0143189,535.184,0.0168947,1.09949,0.0218144
025040107410003168d2a000a00000e2,2,2,18,10.7262,0.02808,538.106,0.0243398,0.847986,0.0440017
025040107410003168d2a000a00000e2,2,2,19,10.7411,0.00862685,535.813,0.011053,1.23725,0.0138683
025040107410003168d2a000a00000e2,2,2,20,10.7307,0.0137018,544.755,0.0168432,1.11735,0.0216556
025040107410003168d2a000a00000e2,2,2,21,10.7306,0.0230498,545.904,0.0213152,0.909157,0.0379762
025040107410003168d2a000a00000e2,2,2,22,10.7236,0.0221381,545.771,0.0214255,0.946328,0.0364998
025040107410003168d2a000a00000e2,2,2,23,10.7298,0.0120512,547,0.0148876,1.26302,0.0194166
025040107410003168d2a000a00000e2,2,2,24,10.7179,0.0274883,537.849,0.0242071,0.858686,0.0429743
025040107410003168d2a000a00000e2,2,2,25,10.7294,0.0219343,537.341,0.0225985,0.929833,0.0317304
025040107410003168d2a000a00000e2,2,2,26,10.7213,0.0229014,538.498,0.0224762,0.898585,0.0336232
025040107410003168d2a000a00000e2,2,2,27,10.7253,0.0267778,542.016,0.024029,0.886288,0.0435193
025040107410003168d2a000a00000e2,2,2,28,10.7203,0.0173184,538.86,0.0193742,1.02709,0.0261728
025040107410003168d2a000a00000e2,2,2,29,10.7271,0.0199439,545.359,0.0216014,1.00064,0.0311487
025040107410003168d2a000a00000e2,2,2,30,10.7288,0.0189584,542.685,0.0204655,0.990094,0.0289619
025040107410003168d2a000a00000e2,2,2,31,10.7091,0.0468229,552.165,0.0843488,2.51509,0.11133
025040107410003168d2a000a00000e2,2,2,32,10.7234,0.0153665,538.999,0.0177115,1.05385,0.02332
025040107410003168d2a000a00000e2,2,2,33,10.7354,0.0147705,544.883,0.0177819,1.09387,0.023124
025040107410003168d2a000a00000e2,2,2,34,10.7233,0.0249357,538.209,0.0226435,0.885585,0.0391059
025040107410003168d2a000a00000e2,2,2,35,10.739,0.00866823,544.104,0.0114866,1.26591,0.0143527
025040107410003168d2a000a00000e2,2,2,36,10.7304,0.00880767,543.744,0.0114864,1.22194,0.0144538
025040107410003168d2a000a00000e2,2,2,37,10.7358,0.0148872,544.866,0.0181266,1.12013,0.0236159
025040107410003168d2a000a00000e2,2,2,38,10.7202,0.0227761,545.619,0.0229137,0.959594,0.0366652
025040107410003168d2a000a00000e2,2,2,39,10.7268,0.0150936,544.885,0.0183109,1.11289,0.0238923
025040107410003168d2a000a00000e2,2,2,40,10.7284,0.0109121,543.417,0.0139847,1.21295,0.0178444
025040107410003168d2a000a00000e2,2,2,41,10.7417,0.00879387,539.636,0.0112094,1.19673,0.0141666
025040107410003168d2a000a00000e2,2,2,42,10.7236,0.0173949,542.848,0.0199811,1.07037,0.0273591
025040107410003168d2a000a00000e2,2,2,43,10.7412,0.0085454,544.104,0.0112364,1.24009,0.0140821
025040107410003168d2a000a00000e2,2,2,44,10.709,0.0233743,530.501,0.0225158,0.918681,0.0338067
025040107410003168d2a000a00000e2,2,2,45,10.7309,0.0237971,534.316,0.0223875,0.926933,0.0368136
025040107410003168d2a000a00000e2,2,2,46,10.726,0.0151575,535.126,0.0178809,1.11259,0.0233012
025040107410003168d2a000a00000e2,2,2,47,10.7362,0.0234719,530.397,0.0219234,0.912943,0.0346205
025040107410003168d2a000a00000e2,2,2,48,10.7143,0.0257137,538.187,0.0232891,0.886709,0.0405685
025040107410003168d2a000a00000e2,2,2,49,10.7427,0.00936293,536.258,0.0120313,1.24519,0.0151004
025040107410003168d2a000a00000e2,2,2,50,10.7217,0.0135859,535.316,0.0167454,1.18681,0.0215236
025040107410003168d2a000a00000e2,2,2,51,10.7263,0.0270758,534.256,0.0248513,0.908091,0.0419827
025040107410003168d2a000a00000e2,2,2,52,10.7211,0.00805737,531.882,0.0102415,1.25417,0.012813
025040107410003168d2a000a00000e2,2,2,53,10.7371,0.0159455,536.937,0.0187162,1.09748,0.0245524
025040107410003168d2a000a00000e2,2,2,54,10.7311,0.0075337,531.942,0.00953479,1.23966,0.0119448
025040107410003168d2a000a00000e2,2,2,55,10.738,0.0100988,531.449,0.0122718,1.17044,0.0156164
025040107410003168d2a000a00000e2,2,2,56,10.7295,0.0115235,539.369,0.0144152,1.18106,0.0184387
025040107410003168d2a000a00000e2,2,2,57,10.7357,0.0205094,533.482,0.0209716,1.00427,0.0317903
025040107410003168d2a000a00000e2,2,2,58,10.728,0.0228416,533.562,0.0227627,0.984169,0.0355946
025040107410003168d2a000a00000e2,2,2,59,10.7304,0.0264687,530.026,0.02264,0.880121,0.0410472
025040107410003168d2a000a00000e2,2,2,60,10.728,0.0149764,528.852,0.0168109,1.10956,0.0208739
025040107410003168d2a000a00000e2,2,2,61,10.7382,0.0254987,529.692,0.0227339,0.875353,0.0373815
025040107410003168d2a000a00000e2,2,2,62,10.7007,0.0181673,521.098,0.0191671,1.07196,0.0258354
025040107410003168d2a000a00000e2,2,2,63,10.7362,0.0239007,529.608,0.0221197,0.903077,0.0348941
